epoch,accuracy,learning_rate,loss,val_accuracy,val_loss
0,0.20043572783470154,0.0010000000474974513,2.2405765056610107,0.14320987462997437,2.3017592430114746
1,0.36122003197669983,0.0010000000474974513,1.854943037033081,0.1061728373169899,2.284773349761963
2,0.44880175590515137,0.0010000000474974513,1.6179229021072388,0.11851851642131805,2.2075352668762207
3,0.5032680034637451,0.0010000000474974513,1.4667009115219116,0.2123456746339798,2.357104539871216
4,0.5755991339683533,0.0010000000474974513,1.2824926376342773,0.18271605670452118,2.1234140396118164
5,0.6178649067878723,0.0010000000474974513,1.1839818954467773,0.18024691939353943,2.554419755935669
6,0.6457516551017761,0.0010000000474974513,1.0813267230987549,0.32592591643333435,1.9152007102966309
7,0.6819171905517578,0.0010000000474974513,0.9896316528320312,0.4740740656852722,1.4564288854599
8,0.7076252698898315,0.0010000000474974513,0.9216834902763367,0.3234567940235138,2.591625928878784
9,0.7124183177947998,0.0010000000474974513,0.8662386536598206,0.32592591643333435,2.043365240097046
10,0.7385621070861816,0.0010000000474974513,0.8381187915802002,0.20000000298023224,3.3189096450805664
11,0.755119800567627,0.0010000000474974513,0.7645362615585327,0.16790123283863068,6.810786724090576
12,0.7738562226295471,0.0005000000237487257,0.7028962969779968,0.404938280582428,2.017216444015503
13,0.7825707793235779,0.0005000000237487257,0.674809455871582,0.3580246865749359,2.586658239364624
14,0.7625272274017334,0.0005000000237487257,0.6987294554710388,0.28641974925994873,3.5908520221710205
15,0.7747276425361633,0.0005000000237487257,0.678494930267334,0.39753085374832153,2.190250873565674
